Locus_tags,TSS_ID,Gene Symbols,Max_Norm_Reads,DK_vs_CT_log2FoldChange,DK_vs_CT_padj,HL_vs_CT_log2FoldChange,HL_vs_CT_padj,Product
M744_RS02060,gTSS+3885303056.14 ,3.78,1.06E-41,-0.32,3.37E-01,-0.53,1.66E-01,
M744_RS02075,gTSS+3918254581.48 ,1.64,2.20E-15,1.35,1.57E-10,-0.41,1.21E-01,
M744_RS02090,gTSS-394369705.53 ,0.37,1.91E-01,1.09,5.93E-05,0.67,3.73E-02,
M744_RS02100,gTSS+395250,"cysQ, amtA",1987.48,-0.98,4.69E-04,2.6,1.18E-24,"3'(2'),5'-bisphosphate nucleotidase CysQ"
M744_RS02110,gTSS-397431,cysM,1111.03,0.07,8.06E-01,1.21,4.30E-07,cysteine synthase A
M744_RS02120,gTSS-400184,glnN,2160.85,0.01,9.76E-01,1.29,2.11E-07,glutamine synthetase
M744_RS02125,gTSS-4013234832.37 ,0.25,3.08E-01,-0.48,5.40E-02,0.22,5.06E-01,
M744_RS02140,gTSS-403235850.94 ,-2.45,4.08E-13,1.62,5.71E-10,-0.55,9.77E-02,
M744_RS02150,gTSS-4038233227.04 ,3.14,5.28E-30,-0.18,5.77E-01,-0.59,1.02E-01,
M744_RS02160,gTSS-40496420635.83 ,2.16,6.46E-24,0.44,5.45E-02,0.07,8.40E-01,
M744_RS02170,gTSS-406636,era,962.3,-0.06,8.21E-01,1.55,3.08E-10,GTPase Era
M744_RS02180,gTSS+407074,moeB,5311.59,-1.98,6.22E-14,2.69,1.09E-28,molybdenum cofactor biosynthesis protein MoeB
M744_RS02185,gTSS+4087514578.42 ,2.55,6.94E-32,-1.44,5.32E-10,0.45,1.04E-01,
M744_RS02190,gTSS+409438,pgm,1419.49,-3.51,4.60E-39,0.21,4.10E-01,alpha-D-glucose phosphate-specific phosphoglucomutase
M744_RS02200,gTSS-412011887.43 ,-1.82,1.78E-10,1.27,4.12E-07,0.23,5.12E-01,
M744_RS02205,gTSS+41202922001.03 ,-0.25,2.62E-01,2.26,2.56E-26,-0.61,1.81E-02,
M744_RS02215,gTSS-416013818.12 ,3.35,1.86E-26,-1.4,3.36E-04,1.14,2.69E-03,
M744_RS02220,gTSS+415838637.26 ,-0.17,5.72E-01,0.85,2.44E-03,0.13,7.70E-01,
M744_RS02225,gTSS+4171531316.27 ,3.63,3.29E-46,-0.26,3.99E-01,0.94,2.21E-03,
M744_RS02230,gTSS-4197111452.03 ,2.98,1.02E-37,1.78,9.11E-14,0.16,6.56E-01,
M744_RS02235,gTSS+41978423545.38 ,4.45,8.03E-86,-0.88,3.15E-04,0.16,6.44E-01,
M744_RS02245,gTSS+421272571.99 ,1.31,3.69E-07,1.75,4.02E-12,-0.36,3.01E-01,
M744_RS02250,gTSS-422095875.18 ,-1.92,2.36E-13,-0.12,6.75E-01,-0.56,6.73E-02,
M744_RS02255,gTSS+422151,"pdhB, acoB",10508.32,4.33,1.52E-70,-2.06,4.74E-14,pyruvate dehydrogenase subunit beta
M744_RS02260,gTSS+422544,secD,1507.16,1.83,2.25E-16,0.46,5.75E-02,protein translocase subunit SecD
M744_RS02270,gTSS+4247849750.19 ,6.56,2.82E-174,-3.28,5.46E-15,1.09,1.04E-04,
M744_RS02275,gTSS-428221,ilvB,147116.08,2.76,5.14E-52,0.19,3.63E-01,acetolactate synthase
M744_RS02280,gTSS-4289962639.10 ,-1.4,4.73E-07,0.19,5.51E-01,0.3,4.39E-01,
M744_RS02285,gTSS-430248,hemH,8591.56,-1.13,9.72E-09,0.78,1.06E-04,ferrochelatase
M744_RS02300,gTSS-434113664.26 ,0.42,1.03E-01,-0.14,6.19E-01,-0.05,9.16E-01,
M744_RS02325,gTSS-440179505.05 ,0.91,4.42E-04,0.24,4.02E-01,0.09,8.31E-01,
M744_RS02330,gTSS-441219576.07 ,-0.08,7.68E-01,0,9.87E-01,0.11,7.66E-01,
M744_RS02335,gTSS-442056,ntcA,1194.88,-6.38,2.04E-26,0.89,2.13E-04,global nitrogen regulator
M744_RS02340,gTSS+442155,"envM, fabI",2026.41,-3.25,2.86E-15,2.96,1.41E-25,enoyl-[acyl-carrier-protein] reductase
M744_RS02345,gTSS+442953,hisB,7839.31,2.33,1.34E-27,-0.06,8.18E-01,imidazoleglycerol-phosphate dehydratase
M744_RS02360,gTSS+44478032857.58 ,6.45,7.22E-150,-0.68,1.33E-02,0.79,9.17E-03,
M744_RS02380,gTSS+4490151408.50 ,-7.49,6.38E-12,1.61,4.99E-07,-1.4,1.51E-04,
M744_RS02385,gTSS-451415,"pet112, gatB",3602.62,-0.51,2.20E-02,2.17,2.16E-25,aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
M744_RS02400,gTSS-4550314012.98 ,1.9,2.01E-20,1.41,1.74E-11,-0.47,6.91E-02,
M744_RS02405,gTSS-4551644024.87 ,-2.01,3.66E-15,1.36,5.92E-08,0.1,7.99E-01,
M744_RS02415,gTSS-458349,dnaK,1990.76,1.47,9.35E-13,0.72,7.58E-04,molecular chaperone DnaK
M744_RS02425,gTSS-4595791521.64 ,-3.54,5.20E-41,-0.17,5.17E-01,-0.21,5.39E-01,
M744_RS02430,gTSS-4598101380.66 ,1.28,6.43E-05,-0.63,6.39E-02,-1.15,2.17E-03,
M744_RS02435,gTSS+459935639.55 ,1.11,3.00E-04,-0.69,3.44E-02,0.02,9.66E-01,
M744_RS02455,gTSS+464362574.50 ,4.02,1.03E-24,-0.74,1.43E-01,-0.96,9.81E-02,
M744_RS02460,gTSS-4656832379.82 ,1.37,1.66E-09,-1.02,1.79E-05,-0.45,1.17E-01,
M744_RS02465,gTSS-467197,ndbA,6003,2.8,8.61E-39,0.63,5.67E-03,FAD-dependent oxidoreductase
M744_RS02470,gTSS+4672291501.90 ,1.7,2.07E-07,-2.92,1.38E-15,1.84,3.79E-07,
M744_RS02480,gTSS+468199,"pyk, pyk2, pykF",3776.92,2.59,1.62E-34,1.56,4.89E-13,pyruvate kinase
M744_RS02490,gTSS+47402952017.78 ,3.96,6.66E-42,-1.56,2.97E-07,0.66,7.16E-02,
M744_RS02510,gTSS-477370,tmk,532.69,1.74,4.96E-10,0.63,3.50E-02,dTMP kinase
M744_RS02515,gTSS+4772905116.41 ,3.65,3.79E-59,0.2,4.54E-01,-0.41,1.72E-01,
M744_RS02520,gTSS+477979,ycf21,1149.96,1.3,5.09E-04,1.77,2.80E-06,hypothetical protein
M744_RS02540,gTSS-48086137528.15 ,3.73,5.88E-46,-4.05,5.87E-48,1.62,3.10E-08,
M744_RS02550,gTSS+4818372341.65 ,2.11,3.11E-15,0.08,8.08E-01,-0.64,5.98E-02,
M744_RS02555,gTSS+483213,glgX,10356.34,4.41,3.44E-65,-1.72,1.15E-09,glycogen debranching enzyme
M744_RS02575,gTSS-489071,mdlB,6857.85,-1.18,1.89E-07,1.82,3.04E-16,LuxR family transcriptional regulator
M744_RS02580,gTSS+4889561520.03 ,-1.89,1.72E-16,-1.17,2.47E-07,0.05,8.83E-01,
M744_RS02585,gTSS+4893841372.43 ,1.26,1.05E-05,0.11,7.43E-01,-0.76,2.83E-02,
M744_RS02590,gTSS+490723,ycf41,7061.3,1.15,1.26E-07,-0.03,9.18E-01,hypothetical protein
M744_RS02595,gTSS+4908091281.72 ,3.01,4.24E-34,-1.79,4.52E-09,0.24,5.21E-01,
M744_RS02600,gTSS-4924322258.00 ,-0.57,4.86E-02,3.18,2.03E-35,0.52,1.15E-01,
M744_RS02605,gTSS-493930634.06 ,2.4,2.54E-17,-1.03,1.57E-03,1.12,6.86E-04,
M744_RS02610,gTSS-494586,pepP,866.11,-0.89,1.05E-03,0.58,3.34E-02,Xaa-Pro aminopeptidase
M744_RS02620,gTSS+495114,lytB,671.81,-0.35,2.72E-01,1.33,7.37E-06,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
M744_RS02630,gTSS+497190,degT,1354.6,-4.11,4.66E-21,1.41,1.11E-05,pleiotropic regulatory protein
M744_RS02635,gTSS+498254529.06 ,-1.28,2.56E-02,4.11,2.84E-32,-1.09,3.66E-02,
M744_RS02640,gTSS-4994108281.21 ,5.15,1.69E-130,-1.06,1.68E-05,1.27,1.72E-07,
M744_RS02650,gTSS+5003441583.78 ,0.63,5.28E-03,0.14,5.71E-01,-0.39,1.69E-01,
M744_RS02660,gTSS+502725,infC,7480.23,0.42,1.49E-01,-0.49,1.08E-01,translation initiation factor IF-3
M744_RS02670,gTSS+504714,rfbF,15459.03,4.54,8.61E-98,-1.6,9.64E-12,glucose-1-phosphate cytidylyltransferase
M744_RS02675,gTSS+505606,rfbG,1290.71,-2.62,1.83E-16,1.63,6.48E-10,"CDP-glucose 4,6-dehydratase"
M744_RS02685,gTSS+5070081052.65 ,0.38,1.23E-01,-1.36,2.70E-08,-0.48,1.07E-01,
M744_RS02705,gTSS+5098841219.91 ,6.08,5.00E-63,-1.41,2.03E-02,1.32,4.48E-03,
M744_RS02715,gTSS+5113731065.00 ,3.44,9.37E-40,0.15,6.63E-01,0.37,3.14E-01,
M744_RS02725,gTSS+513774701.76 ,-1.43,1.38E-03,2.72,1.23E-14,0.05,9.39E-01,
M744_RS02730,gTSS-5183732823.43 ,4.21,3.19E-56,-0.96,2.08E-03,0.27,5.10E-01,
M744_RS02735,gTSS+518316,pilA,21286.36,2.63,7.80E-33,-1.8,2.59E-15,prepilin-type cleavage/methylation domain-containing protein
M744_RS02740,gTSS+51893773927.22 ,3.22,2.96E-55,-2.26,9.23E-27,-0.27,3.50E-01,
M744_RS02750,gTSS-5231922467.09 ,1.02,7.64E-07,-0.64,2.94E-03,0.18,5.40E-01,
M744_RS02770,gTSS+527207,rpl28,54753.01,-3.08,4.09E-40,1.98,3.06E-17,50S ribosomal protein L28
M744_RS02780,gTSS-529722,folB,3301.34,-0.4,1.03E-01,1.21,4.96E-07,dihydroneopterin aldolase
M744_RS02785,gTSS-531227,gnd,1208.79,-1,6.00E-06,-1.18,9.96E-08,"phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)"
M744_RS02790,gTSS-531889,mutT,551.05,0.06,8.21E-01,-0.67,7.49E-03,DNA mismatch repair protein MutT
M744_RS02805,gTSS+5329141904.93 ,4.15,3.05E-56,-1.27,8.54E-05,0.35,3.58E-01,
M744_RS02840,gTSS-540162,bioF,620.9,0.26,4.15E-01,1.35,4.84E-06,7-keto-8-aminopelargonic acid synthetase
M744_RS02860,gTSS+54332417893.23 ,4.09,1.66E-97,-0.79,1.64E-04,0.54,2.61E-02,
M744_RS02880,gTSS-549979,sir,1272.63,3.24,8.98E-29,-1.16,6.18E-04,sulfite reductase
M744_RS02885,gTSS+549911,glyS,4092.75,-3.46,2.90E-20,3.5,2.98E-43,glycine--tRNA ligase subunit beta
M744_RS02895,gTSS-5533541316.67 ,-1.97,5.39E-14,1.23,1.26E-07,0.22,4.96E-01,
M744_RS02905,gTSS+553942798.75 ,4.19,4.74E-36,-2.38,4.90E-06,0.95,2.44E-02,
M744_RS02920,gTSS+556296,rps6,18080.97,-1.07,1.38E-05,2.56,1.01E-25,30S ribosomal protein S6
M744_RS02935,gTSS-559392,argG,12064.63,-1.75,4.50E-14,2.4,2.55E-26,argininosuccinate synthase
M744_RS02940,gTSS+5594492436.64 ,-1.91,2.61E-15,-0.25,3.30E-01,0.01,9.74E-01,
M744_RS02960,gTSS-563785,purF,899.62,-0.47,8.17E-02,-0.04,8.98E-01,amidophosphoribosyltransferase
M744_RS02965,gTSS-566176,purL,2326.88,-0.16,5.57E-01,1.43,1.03E-08,phosphoribosylformylglycinamidine synthase subunit PurL
M744_RS02985,gTSS-570477,thrC,6312.26,1.13,1.46E-08,1.11,4.54E-08,threonine synthase
M744_RS02990,gTSS+5703441189.00 ,0.85,2.61E-04,0.69,3.56E-03,-0.12,7.47E-01,
M744_RS02995,gTSS+571214,cobA,793.59,0.56,2.22E-02,0.57,2.30E-02,uroporphyrin-III C-methyltransferase
M744_RS03010,gTSS+573207,xthA,913.38,-2.92,2.61E-14,1.53,4.33E-07,exodeoxyribonuclease III
M744_RS03015,gTSS+574069,thrS,3768.32,0.15,5.08E-01,1.91,8.45E-21,threonine--tRNA ligase
M744_RS03035,gTSS-580210,ctaC,37489.25,4.56,1.23E-102,-1.04,3.99E-06,cytochrome c oxidase subunit II
M744_RS03040,gTSS+5804042824.46 ,4.81,1.31E-76,-0.41,1.97E-01,0.63,6.46E-02,
M744_RS03065,gTSS-585422,mviM,8971.11,-1.98,2.84E-21,0.48,3.01E-02,oxidoreductase
M744_RS03070,gTSS-587533686.78 ,-0.93,1.68E-03,1.17,1.62E-05,0.08,8.52E-01,
M744_RS03085,gTSS-5882175941.38 ,1.06,1.77E-06,-0.63,6.55E-03,-0.2,5.39E-01,
M744_RS03090,gTSS+588290,"umpS, pyrE",989.25,-4.26,5.14E-12,2.68,7.62E-24,orotate phosphoribosyltransferase
M744_RS03110,gTSS+591284,ubiD,1103.05,-1.17,4.92E-05,1.29,2.32E-06,hypothetical protein
M744_RS03135,gTSS-5959664266.14 ,-2.02,6.34E-16,-0.03,9.11E-01,-1.02,3.47E-04,
M744_RS03145,gTSS-597256,petF,2095.29,-3.46,1.53E-23,1.82,1.16E-11,ferredoxin
M744_RS03155,gTSS+597470,dnaK,4314.12,-1.72,8.58E-16,0.85,6.88E-05,chaperone protein dnaK3
M744_RS03165,gTSS+600258752.34 ,-0.4,1.01E-01,-1.7,4.60E-12,0.17,6.31E-01,
M744_RS03170,gTSS+600713595.94 ,-0.49,7.78E-02,0.58,3.07E-02,-0.36,3.00E-01,
M744_RS03230,gTSS+614184,tyrS,10516.37,-2.31,1.61E-16,2.86,7.36E-27,tyrosine--tRNA ligase
M744_RS03240,gTSS+615618660.59 ,-0.32,4.22E-01,-3.21,3.75E-13,1.56,1.50E-04,
M744_RS03250,gTSS-618737,ppiB,12734.44,-1.61,4.77E-17,0.94,1.43E-06,peptidyl-prolyl cis-trans isomerase
M744_RS03265,gTSS-6236241188.28 ,0.1,7.31E-01,-0.62,3.01E-02,0.21,5.93E-01,
M744_RS03270,gTSS-6243871075.10 ,-1.83,2.64E-07,2.46,5.97E-18,-0.07,8.93E-01,
M744_RS03285,gTSS+625822,rpl9,49045.12,-1.67,1.98E-18,3.38,3.71E-73,50S ribosomal protein L9
M744_RS03290,gTSS-627741,nifS,649.04,3.32,3.90E-29,0.03,9.36E-01,IscS subfamily cysteine desulfurase
M744_RS03295,gTSS+627804,hoxU,528.25,0.6,3.43E-02,-0.6,4.10E-02,hydrogenase HoxU
M744_RS03310,gTSS+6305597896.95 ,1.82,7.37E-21,-1.79,5.35E-19,0.83,2.29E-04,
M744_RS03335,gTSS-635747856.48 ,-2.29,2.25E-14,0.45,1.15E-01,0.28,4.60E-01,
M744_RS03340,gTSS+635742687.22 ,4.75,1.56E-48,-1.51,3.18E-03,0.79,7.32E-02,
M744_RS03345,gTSS-636836,leuD,1832.75,0.79,2.52E-03,1.09,3.72E-05,3-isopropylmalate dehydratase small subunit
M744_RS03360,gTSS-639288,aspC,6490.5,-1.29,5.47E-06,1.54,6.10E-08,aspartate aminotransferase
M744_RS03370,gTSS+6395142211.43 ,-1.83,8.35E-12,2.15,4.31E-20,-0.14,6.96E-01,
M744_RS03375,gTSS+639803,petJ,2349.6,4.52,1.28E-75,0.07,8.26E-01,cytochrome c6
M744_RS03390,gTSS-641852,rpl19,92549.05,-2.07,2.42E-25,4.19,2.14E-103,50S ribosomal protein L19
M744_RS03395,gTSS+64190736473.66 ,7.44,4.00E-296,-0.51,3.52E-02,0.7,5.48E-03,
M744_RS03405,gTSS+643248,clpP,4440.13,0.08,7.52E-01,0.3,2.36E-01,ATP-dependent Clp protease proteolytic subunit
M744_RS03425,gTSS+64845719666.90 ,2.71,1.81E-42,-0.88,2.56E-05,0.58,1.73E-02,
M744_RS03430,gTSS-6502581082.32 ,-0.8,6.22E-04,0.49,3.61E-02,-0.82,1.72E-03,
M744_RS03435,gTSS+65001811437.34 ,4.07,6.82E-83,-1.2,1.44E-07,0.1,7.80E-01,
M744_RS03440,gTSS-652063,tsf,1215.08,-4.58,1.66E-15,2.5,1.58E-23,elongation factor Ts
M744_RS03445,gTSS-652947,rps2,84518.28,-1.03,2.40E-08,2.31,3.96E-36,30S ribosomal protein S2
M744_RS03450,gTSS+653095118306.07 ,4.45,1.71E-93,2.77,3.05E-36,-1.11,8.37E-06,
M744_RS03465,gTSS-656729,clpX,1967.4,-0.85,5.25E-05,0.35,1.12E-01,ATP-dependent Clp protease ATP-binding subunit ClpX
M744_RS03475,gTSS-659087,tig,30732.56,-0.68,9.05E-04,4.13,4.64E-98,trigger factor
M744_RS03485,gTSS+659202,gpsA,987.25,0.31,2.95E-01,2.06,2.38E-14,glycerol-3-phosphate dehydrogenase (NAD(P)(+))
M744_RS03490,gTSS+660163,gpsA,12980.43,2.5,1.14E-37,0.64,1.88E-03,hypothetical protein
M744_RS03495,gTSS+6615451953.54 ,-3.3,3.09E-29,1.06,3.07E-05,0.3,3.85E-01,
M744_RS03500,gTSS+6622812327.64 ,3.08,4.04E-37,-0.39,1.58E-01,0.83,4.41E-03,
M744_RS03505,gTSS+665067,glgA,4407.68,-1.84,2.49E-16,1.49,5.19E-12,glycogen synthase
M744_RS03510,gTSS+6664481146.81 ,-2.99,3.44E-24,0.74,3.89E-03,-0.55,7.15E-02,
M744_RS03530,gTSS-671015,argF,2862.93,-1.3,9.04E-07,2.42,1.79E-23,ornithine carbamoyltransferase
M744_RS03535,gTSS-671965,btpA,3848.18,0.77,6.43E-04,1.32,4.98E-09,phosphorybosylanthranilate isomerase
M744_RS03545,gTSS+6720364361.27 ,0.62,1.47E-02,2.56,2.46E-25,-0.03,9.42E-01,
M744_RS03570,gTSS+676415101592.53 ,4.49,8.82E-129,-0.02,9.34E-01,-0.23,3.70E-01,
M744_RS03590,gTSS+678737,por,4249.24,-1.26,1.37E-04,-3.16,3.89E-21,protochlorophyllide oxidoreductase
M744_RS03600,gTSS-682334,"aroF, aroG",3677.49,0.43,4.88E-02,0.57,1.06E-02,phospho-2-dehydro-3-deoxyheptonate aldolase
M744_RS03605,gTSS+68249912975.41 ,3.22,4.61E-31,-1.78,9.93E-10,1.37,1.72E-05,
M744_RS03620,gTSS+685825,"ndk, ndkR",1193.59,-3.53,3.92E-24,0.99,5.26E-04,nucleoside-diphosphate kinase
M744_RS03650,gTSS-693281,gyrB,4033.85,0.7,1.40E-03,1.48,1.40E-11,DNA gyrase subunit B
M744_RS03670,gTSS-6956444357.41 ,-1.92,6.22E-13,-0.48,8.88E-02,-1.41,2.16E-06,
M744_RS03700,gTSS+704335,psb28-2,4925.09,5.47,2.39E-69,-1.13,1.89E-03,photosystem II reaction center protein Psb28
M744_RS03705,gTSS+704657,sulA,1338.63,0.59,6.44E-03,1.15,6.23E-08,epimerase
M744_RS03710,gTSS-706025932.66 ,0.76,6.66E-04,0.39,9.26E-02,0.69,7.56E-03,
M744_RS03720,gTSS-709274921.37 ,-2.85,3.67E-16,1.14,7.69E-05,-0.15,7.34E-01,
M744_RS03725,gTSS-711068,ffh,1356.6,-0.29,3.21E-01,1.52,2.17E-08,signal recognition particle-docking protein FtsY
M744_RS03730,gTSS-711647,nusB,2685.24,0.37,1.28E-01,2.14,2.21E-20,N utilization substance protein B
M744_RS03735,gTSS-712637708.74 ,0.7,2.42E-02,0.94,2.67E-03,-0.98,7.25E-03,
M744_RS03740,gTSS-71355017499.00 ,-2.2,5.72E-25,1.63,2.31E-14,-0.22,4.61E-01,
M744_RS03745,gTSS-715680,dnaK,9552.08,0.91,1.59E-04,1.91,2.28E-15,chaperone protein dnaK2
M744_RS03750,gTSS+715770,aroE,842.51,-1.33,3.03E-06,1.53,7.28E-10,shikimate dehydrogenase
M744_RS03755,gTSS-7174085897.14 ,1.38,3.34E-09,1.47,5.66E-10,-0.72,1.05E-02,
M744_RS03760,gTSS+717215647.79 ,0.47,4.77E-02,-0.09,7.50E-01,-0.07,8.50E-01,
M744_RS03765,gTSS+7175294505.12 ,1.86,1.49E-20,1.34,5.75E-11,-0.31,2.56E-01,
M744_RS03770,gTSS+7176662615.85 ,2.1,1.02E-17,-0.61,2.04E-02,-0.18,6.28E-01,
M744_RS03775,gTSS+718819,"metX, metK",14015.17,-2.53,3.80E-39,1.63,6.08E-18,S-adenosylmethionine synthase
M744_RS03795,gTSS-7256301200.87 ,-6.81,3.19E-06,2.76,1.12E-11,-0.48,4.06E-01,
M744_RS03805,gTSS-728069,comE,1738.05,1.86,5.99E-11,-1.57,2.73E-07,competence protein ComE
M744_RS03810,gTSS-729025,glyQ,2540.5,-3.1,1.20E-20,2.67,4.60E-30,glycine--tRNA ligase subunit alpha
M744_RS03820,gTSS-7307775399.43 ,-2.33,4.99E-21,2.23,6.54E-23,-0.4,1.72E-01,
M744_RS03830,gTSS+731380,apt,510.91,0.19,5.27E-01,-1.07,2.79E-04,ABC transporter substrate-binding protein
M744_RS03835,gTSS+732484,pilM,3769.32,-2.7,8.51E-30,0.41,9.06E-02,pilus assembly protein PilM
M744_RS03860,gTSS-73834640807.78 ,2.05,3.87E-15,0.7,1.09E-02,-1.84,8.95E-11,
M744_RS03865,gTSS-740110,hflX,6005.01,4.38,1.70E-78,-0.7,8.13E-03,GTPase HflX
M744_RS03870,gTSS-7404091976.22 ,0.56,3.52E-02,-3.14,3.55E-30,-0.76,1.40E-02,
M744_RS03875,gTSS+740538,map,3814.26,0.44,7.15E-02,0.28,2.89E-01,type I methionyl aminopeptidase
M744_RS03900,gTSS+745579,"pstB, phoT",641.77,1.55,9.64E-09,-0.45,1.29E-01,phosphate ABC transporter ATP-binding protein
M744_RS03925,gTSS+752084,ileS,4372.28,0.37,7.48E-02,1.7,1.31E-17,isoleucine--tRNA ligase
M744_RS03935,gTSS-7566661650.79 ,4.52,5.44E-53,-1.09,3.10E-03,-0.23,6.33E-01,
M744_RS03940,gTSS-756835,ilvN,11930.86,0.69,2.74E-04,1.13,3.71E-09,acetolactate synthase small subunit
M744_RS03950,gTSS-7583752415.47 ,2.25,1.48E-19,-1.25,3.06E-06,-0.46,1.57E-01,
M744_RS03955,gTSS+758502561.61 ,0.86,1.16E-03,-0.48,9.02E-02,0.88,3.46E-03,
M744_RS03960,gTSS+762366782.66 ,0.07,8.21E-01,1.03,2.57E-04,0.1,8.26E-01,
M744_RS03965,gTSS+763522,exbB2,1130.88,0.86,2.48E-04,-0.02,9.35E-01,biopolymer transporter ExbB
M744_RS03970,gTSS+7636391954.34 ,2.17,1.22E-20,0.52,3.61E-02,0.52,7.62E-02,
M744_RS03975,gTSS-765526847.42 ,-1,1.84E-04,-1.63,8.29E-10,0.89,1.95E-03,
M744_RS03985,gTSS+765791,ycf39,7545.63,-3.29,4.39E-34,2.85,9.63E-37,3-beta hydroxysteroid dehydrogenase
M744_RS03990,gTSS+7668294919.64 ,2.48,4.31E-33,-1.42,1.37E-10,0.36,1.92E-01,
M744_RS03995,gTSS+767696,gidA,1474.39,-0.69,8.72E-03,2,7.72E-17,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG
M744_RS04000,gTSS+769615835.52 ,-1.23,1.26E-05,0.46,1.08E-01,-0.15,7.13E-01,
M744_RS04005,gTSS+770555930.35 ,-2.12,1.16E-12,1.14,1.25E-05,-0.02,9.63E-01,
M744_RS04010,gTSS-772286,cysE,947.2,0.7,1.28E-02,-0.04,9.01E-01,serine acetyltransferase
M744_RS04015,gTSS-772877900.34 ,-4.03,5.47E-32,-0.88,1.33E-03,0.08,8.59E-01,
M744_RS04025,gTSS+773856687.78 ,-1.81,1.91E-08,1.03,3.64E-04,-1.04,1.94E-03,
M744_RS04030,gTSS+775237,srrA,1239.8,-1.67,1.16E-01,4.09,4.32E-05,DNA-binding response regulator
M744_RS04035,gTSS+776076,lysS,4555.62,-0.26,2.54E-01,1.64,3.52E-14,lysine--tRNA ligase
M744_RS04040,gTSS+7777996123.15 ,-2.62,1.72E-18,1.81,4.79E-10,-2.15,5.54E-12,
M744_RS04045,gTSS+779207,"phb, hflC",1447.17,2.34,3.60E-23,-1.79,3.93E-11,membrane protein
M744_RS04055,gTSS-7815411241.80 ,0.3,3.31E-01,0.49,1.18E-01,-1.42,2.40E-05,
M744_RS04075,gTSS-7854451159.91 ,0.9,3.55E-04,0.91,3.78E-04,-0.77,1.05E-02,
M744_RS04095,gTSS-787247560.93 ,-1.83,3.60E-09,-0.39,2.03E-01,0.13,7.79E-01,
M744_RS04125,gTSS+7919688180.51 ,-0.84,1.13E-05,0.61,1.80E-03,-0.72,1.11E-03,
M744_RS04135,gTSS+7933111828.76 ,-0.6,5.95E-03,0.55,1.30E-02,-0.09,7.83E-01,
M744_RS04140,gTSS+793625538.14 ,0.84,3.75E-03,-0.38,2.24E-01,-0.71,4.23E-02,
M744_RS04145,gTSS-796814,gltX,646.85,1.04,1.60E-03,2.77,7.05E-19,glutamate--tRNA ligase
M744_RS04155,gTSS-799315981.75 ,1.9,5.22E-13,-0.12,7.10E-01,0.72,2.42E-02,
M744_RS04170,gTSS+8040901243.54 ,1.99,1.43E-11,-1.98,9.49E-10,1.21,3.64E-04,
M744_RS04190,gTSS-813118,nifJ,736.31,7.68,2.45E-49,-2.65,1.06E-01,pyruvate:ferredoxin (flavodoxin) oxidoreductase
M744_RS04195,gTSS-814463,ycf81,614.5,3.22,1.63E-26,-0.71,5.59E-02,hypothetical protein
M744_RS04205,gTSS-816421,panB,2598.4,-0.61,3.68E-03,1.62,5.33E-16,3-methyl-2-oxobutanoate hydroxymethyltransferase
M744_RS04210,gTSS+8166851328.99 ,2.17,4.99E-11,-0.13,7.39E-01,-1.14,4.48E-03,
M744_RS04220,gTSS-819168,ftsZ,5728.85,-2.93,1.91E-27,1.62,3.07E-10,cell division protein FtsZ
M744_RS04225,gTSS-8204561017.02 ,-0.25,3.00E-01,0.26,2.81E-01,0.74,3.99E-03,
M744_RS04235,gTSS-8216631006.46 ,-1.93,4.86E-09,2.02,1.04E-13,-0.11,8.10E-01,
M744_RS04240,gTSS-8230574650.76 ,-0.93,6.61E-06,1.81,1.38E-19,0.08,7.96E-01,
M744_RS04270,gTSS-8306212220.87 ,0.26,2.17E-01,-0.67,1.68E-03,0.41,1.16E-01,
M744_RS04280,gTSS+8309161621.70 ,2.57,1.02E-28,-0.84,1.05E-03,0.62,3.16E-02,
M744_RS04285,gTSS+83152410524.68 ,5.29,1.62E-131,-0.75,2.56E-03,0.47,9.65E-02,
M744_RS04295,gTSS+8336851660.64 ,1.16,2.47E-06,-1.37,1.10E-07,-0.73,1.36E-02,
M744_RS04300,gTSS+8341231988.48 ,-1.87,9.15E-14,1.68,1.04E-13,-0.82,2.15E-03,
M744_RS04310,gTSS-836637,murI,2506.56,-1.35,2.11E-08,1.06,6.59E-06,glutamate racemase
M744_RS04315,gTSS-837819,amiA,598.06,-1.44,8.28E-07,0.85,1.66E-03,N-acetylmuramoyl-L-alanine amidase
M744_RS04320,gTSS-839269657.49 ,-3.99,1.64E-21,0.26,4.67E-01,-1.18,1.86E-03,
M744_RS04325,gTSS-8399953850.18 ,-4.04,5.78E-38,2.19,2.20E-22,-0.75,5.28E-03,
M744_RS04330,gTSS+8400231275.77 ,-2.77,9.85E-24,1.08,2.95E-06,-0.87,1.17E-03,
M744_RS04340,gTSS+8423521030.83 ,2.19,4.95E-12,1.26,1.20E-04,-0.08,8.85E-01,
M744_RS04350,gTSS-844124,lipB,5737.76,3.66,2.26E-65,-0.63,8.49E-03,octanoyltransferase
M744_RS04355,gTSS+844255,lrtA,37411.79,5.91,5.79E-99,-4.47,2.06E-36,ribosomal subunit interface protein
