Locus_tag,Chrs,Start,End,Strand,ID,Type,Old_locus_tag,Product,ProAccNo
M744_RS03160,CP006471,599783,600667,+,gene634,protein_coding,M744_03285,molecular chaperone DnaJ,WP_011243841.1
M744_RS03165,CP006471,600667,601140,+,gene635,protein_coding,M744_03290,DUF3110 domain-containing protein,WP_011243842.1
M744_RS03170,CP006471,601141,602064,+,gene636,protein_coding,M744_03295,N-acetylmuramic acid 6-phosphate etherase,WP_011243843.1
M744_RS03175,CP006471,602123,603637,+,gene637,protein_coding,M744_03300,site-2 protease family protein,WP_011378522.1
M744_RS03180,CP006471,603901,605391,+,gene638,rRNA,M744_03305,,
M744_RS03185,CP006471,605552,605628,+,gene639,tRNA,M744_03310,,
M744_RS03190,CP006471,605659,605734,+,gene640,tRNA,M744_03315,,
M744_RS03195,CP006471,605935,608814,+,gene641,rRNA,M744_03320,,
rRNA,CP006471,608885,609002,+,gene642,rrf,M744_RS03200,,
M744_RS03205,CP006471,609130,610071,-,gene643,protein_coding,M744_03330,manganese ABC transporter substrate-binding protein,WP_011243845.1
M744_RS03210,CP006471,610132,610887,+,gene644,protein_coding,M744_03335,metal ABC transporter ATP-binding protein,WP_039755525.1
M744_RS03215,CP006471,610888,611718,+,gene645,protein_coding,M744_03340,metal ABC transporter permease,WP_011243847.1
M744_RS03220,CP006471,611857,612174,+,gene646,protein_coding,M744_03345,DUF1825 domain-containing protein,WP_011243848.1
M744_RS03225,CP006471,612255,614132,-,gene647,protein_coding,M744_03350,penicillin-binding protein,WP_011243849.1
M744_RS03230,CP006471,614202,615410,+,gene648,protein_coding,M744_03355,tyrosine--tRNA ligase,WP_011243850.1
M744_RS03235,CP006471,615414,616136,+,gene649,protein_coding,M744_03360,orotidine-5'-phosphate decarboxylase,WP_011243851.1
M744_RS03240,CP006471,616133,616606,+,gene650,protein_coding,M744_03365,hypothetical protein,WP_011243852.1
M744_RS03245,CP006471,616618,617601,-,gene651,protein_coding,M744_03370,thiamine-monophosphate kinase,WP_011243853.1
M744_RS03250,CP006471,617615,618712,-,gene652,protein_coding,M744_03375,peptidyl-prolyl cis-trans isomerase,WP_011378520.1
M744_RS03255,CP006471,618842,619399,+,gene653,protein_coding,M744_03380,elongation factor P,WP_011243855.1
M744_RS03260,CP006471,619441,619917,+,gene654,protein_coding,M744_03385,acetyl-CoA carboxylase biotin carboxyl carrier protein,WP_011243856.1
M744_RS03265,CP006471,619883,622885,-,gene655,protein_coding,M744_03390,SMC family ATPase,WP_011243857.1
M744_RS03270,CP006471,622932,624161,-,gene656,protein_coding,M744_03395,hypothetical protein,WP_011378519.1
M744_RS03275,CP006471,624252,625088,+,gene657,protein_coding,M744_03400,acyl-CoA desaturase,WP_011243859.1
M744_RS03280,CP006471,625198,625758,-,gene658,protein_coding,M744_03405,N-acetyltransferase,WP_011378518.1
M744_RS03285,CP006471,626046,626504,+,gene659,protein_coding,M744_03410,50S ribosomal protein L9,WP_011243861.1
M744_RS03290,CP006471,626550,627716,-,gene660,protein_coding,M744_03415,cysteine desulfurase,WP_011243862.1
M744_RS03295,CP006471,627880,628596,+,gene661,protein_coding,M744_03420,hydrogenase HoxU,WP_011378517.1
M744_RS03300,CP006471,628584,629138,+,gene662,protein_coding,M744_03425,oxidoreductase,WP_011243864.1
M744_RS03305,CP006471,629148,630578,+,gene663,pseudogene,M744_03430,Ni/Fe hydrogenase subunit alpha,0
M744_RS03310,CP006471,630587,631045,+,gene664,protein_coding,M744_03435,hypothetical protein,WP_011243866.1
M744_RS03315,CP006471,631033,631371,+,gene665,protein_coding,M744_03440,hydrogenase nickel incorporation protein HypA,WP_011243867.1
M744_RS03320,CP006471,631372,632100,+,gene666,protein_coding,M744_03445,hydrogenase accessory protein HypB,WP_011243868.1
M744_RS03325,CP006471,632172,634484,+,gene667,protein_coding,M744_03450,carbamoyltransferase HypF,WP_011243869.1
M744_RS03330,CP006471,634432,634677,+,gene668,protein_coding,M744_03455,HypC/HybG/HupF family hydrogenase formation chaperone,WP_011243870.1
M744_RS03335,CP006471,634674,635747,-,gene669,protein_coding,M744_03460,ATP-binding protein,WP_011243871.1
M744_RS03340,CP006471,635876,636130,+,gene670,protein_coding,M744_03465,hypothetical protein,WP_011378515.1
M744_RS03345,CP006471,636203,636811,-,gene671,protein_coding,M744_03470,3-isopropylmalate dehydratase small subunit,WP_011243872.1
M744_RS03350,CP006471,636909,637229,-,gene672,protein_coding,M744_03475,hypothetical protein,WP_011243873.1
M744_RS03355,CP006471,637278,637997,-,gene673,protein_coding,M744_03480,hypothetical protein,WP_011243874.1
M744_RS03360,CP006471,638074,639252,-,gene674,protein_coding,M744_03485,pyridoxal phosphate-dependent aminotransferase,WP_011243875.1
M744_RS03365,CP006471,639366,639755,+,gene675,protein_coding,M744_03490,glyoxalase/bleomycin resistance/dioxygenase family protein,WP_011243876.1
M744_RS03370,CP006471,639785,640492,+,gene676,protein_coding,M744_03495,uracil-DNA glycosylase,WP_011243877.1
M744_RS03375,CP006471,640509,640856,+,gene677,protein_coding,M744_03500,cytochrome c6,WP_011243878.1
M744_RS03380,CP006471,641070,641143,-,gene678,tRNA,M744_03505,,
M744_RS03385,CP006471,641350,641422,-,gene679,tRNA,M744_03510,,
M744_RS03390,CP006471,641468,641830,-,gene680,protein_coding,M744_03515,50S ribosomal protein L19,WP_039755904.1
M744_RS03395,CP006471,641936,642397,+,gene681,protein_coding,M744_03520,biphenyl 2%2C3-dioxygenase,WP_011243880.1
M744_RS03400,CP006471,642587,643132,+,gene682,protein_coding,M744_03525,thioredoxin family protein,WP_011378513.1
M744_RS03405,CP006471,643274,643960,+,gene683,protein_coding,M744_03530,ATP-dependent Clp protease proteolytic subunit,WP_011243882.1
M744_RS03410,CP006471,644003,644602,+,gene684,protein_coding,M744_03535,ATP-dependent Clp protease proteolytic subunit,WP_011243883.1
M744_RS03415,CP006471,644608,645141,+,gene685,protein_coding,M744_03540,molecular chaperone DnaJ,WP_011378512.1
M744_RS03420,CP006471,645124,648423,-,gene686,protein_coding,M744_03545,diguanylate cyclase,WP_011378511.1
M744_RS03425,CP006471,648574,649839,+,gene687,protein_coding,M744_03550,sensor domain-containing diguanylate cyclase,WP_011378510.1
M744_RS03430,CP006471,649856,650236,-,gene688,protein_coding,M744_03555,hypothetical protein,WP_011243887.1
M744_RS03435,CP006471,650297,651244,+,gene689,protein_coding,M744_03560,alpha/beta hydrolase,WP_011243888.1
M744_RS03440,CP006471,651328,651993,-,gene690,protein_coding,M744_03565,elongation factor Ts,WP_011243889.1
M744_RS03445,CP006471,652096,652851,-,gene691,protein_coding,M744_03570,30S ribosomal protein S2,WP_011378508.1
M744_RS03450,CP006471,653197,653481,+,gene692,protein_coding,M744_03575,DUF4278 domain-containing protein,WP_011378507.1
M744_RS03455,CP006471,653807,654493,-,gene693,protein_coding,M744_03580,hypothetical protein,WP_011378506.1
M744_RS03460,CP006471,654517,655359,-,gene694,protein_coding,M744_03585,alpha/beta hydrolase,WP_011243892.1
M744_RS03465,CP006471,655356,656705,-,gene695,protein_coding,M744_03590,ATP-dependent Clp protease ATP-binding subunit ClpX,WP_011243893.1
M744_RS03470,CP006471,656718,657440,-,gene696,protein_coding,M744_03595,ATP-dependent Clp protease proteolytic subunit,WP_011243894.1
M744_RS03475,CP006471,657532,658956,-,gene697,protein_coding,M744_03600,trigger factor,WP_011378504.1
M744_RS03480,CP006471,658968,659225,-,gene698,protein_coding,M744_03605,hypothetical protein,WP_011378503.1
M744_RS03485,CP006471,659224,660150,+,gene699,protein_coding,M744_03610,glycerol-3-phosphate dehydrogenase (NAD(P)(+)),WP_011378502.1
M744_RS03490,CP006471,660208,661536,+,gene700,protein_coding,M744_03615,PhoH family protein,WP_011378501.1
M744_RS03495,CP006471,661545,662255,+,gene701,protein_coding,M744_03620,lysine decarboxylase,WP_011378500.1
M744_RS03500,CP006471,662338,665043,+,gene702,protein_coding,M744_03625,diguanylate cyclase,WP_011378499.1
M744_RS03505,CP006471,665086,666483,+,gene703,protein_coding,M744_03630,glycogen synthase,WP_011378498.1
M744_RS03510,CP006471,666505,667203,+,gene704,protein_coding,M744_03635,hypothetical protein,WP_011243900.1
M744_RS03515,CP006471,667276,667515,+,gene705,protein_coding,M744_03640,hypothetical protein,WP_011378497.1
M744_RS03520,CP006471,667578,667650,-,gene706,tRNA,M744_03645,,
M744_RS03525,CP006471,667775,670042,+,gene707,protein_coding,M744_03655,ATP-dependent helicase,WP_011243901.1
M744_RS03530,CP006471,670076,670993,-,gene708,protein_coding,M744_03660,ornithine carbamoyltransferase,WP_011243902.1
M744_RS03535,CP006471,671065,671949,-,gene709,protein_coding,M744_03665,phosphorybosylanthranilate isomerase,WP_011378496.1
M744_RS03540,CP006471,671930,672112,-,gene710,protein_coding,M744_03670,hypothetical protein,WP_039755533.1
M744_RS03545,CP006471,672111,673469,+,gene711,protein_coding,M744_03675,30S ribosomal protein S12 methylthiotransferase RimO,WP_011378495.1
M744_RS03550,CP006471,673475,673978,+,gene712,protein_coding,M744_03680,cyclase,WP_011378494.1
M744_RS03555,CP006471,674063,674275,-,gene713,protein_coding,M744_03685,translation initiation factor IF-1,WP_011243906.1
M744_RS03560,CP006471,674347,675000,-,gene714,protein_coding,M744_03690,hydrolase,WP_011243907.1
M744_RS03565,CP006471,675010,676206,-,gene715,protein_coding,M744_03695,NAD(P)/FAD-dependent oxidoreductase,WP_011243908.1
M744_RS03570,CP006471,676437,676697,+,gene716,protein_coding,M744_03700,hypothetical protein,WP_011378493.1
M744_RS03575,CP006471,676737,677435,+,gene717,protein_coding,M744_03705,phosphoadenosine phosphosulfate reductase,WP_011243910.1
M744_RS03580,CP006471,677448,678104,-,gene718,protein_coding,M744_03710,SAM-dependent methyltransferase,WP_011243911.1
M744_RS03585,CP006471,678093,678566,+,gene719,protein_coding,M744_03715,hypothetical protein,WP_011243912.1
M744_RS03590,CP006471,678774,679739,+,gene720,protein_coding,M744_03720,protochlorophyllide oxidoreductase,WP_011378491.1
M744_RS03595,CP006471,679921,681234,+,gene721,protein_coding,M744_03725,hypothetical protein,WP_011378490.1
M744_RS03600,CP006471,681231,682295,-,gene722,protein_coding,M744_03730,3-deoxy-7-phosphoheptulonate synthase,WP_011243915.1
M744_RS03605,CP006471,682518,683138,+,gene723,protein_coding,M744_03735,hypothetical protein,WP_011243916.1
M744_RS03610,CP006471,683179,684519,+,gene724,protein_coding,M744_03740,flotillin family protein,WP_011243917.1
M744_RS03615,CP006471,684519,685763,+,gene725,protein_coding,M744_03745,flotillin,WP_011243918.1
M744_RS03620,CP006471,685863,686318,+,gene726,protein_coding,M744_03750,nucleoside-diphosphate kinase,WP_011243919.1
M744_RS03625,CP006471,686348,687547,+,gene727,protein_coding,M744_03755,branched-chain amino acid ABC transporter substrate-binding protein,WP_011243920.1
M744_RS03630,CP006471,687547,688488,+,gene728,protein_coding,M744_03760,branched-chain amino acid ABC transporter permease,WP_011243921.1
M744_RS03635,CP006471,688492,689415,+,gene729,protein_coding,M744_03765,branched-chain amino acid ABC transporter permease,WP_011243922.1
protein_coding,CP006471,689412,690173,+,gene730,livG,M744_RS03640,ABC transporter ATP-binding protein,WP_011243923.1
M744_RS03645,CP006471,690166,690879,+,gene731,protein_coding,M744_03775,ABC transporter ATP-binding protein,WP_011243924.1
M744_RS03650,CP006471,691285,693222,-,gene732,protein_coding,M744_03785,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_011243925.1
M744_RS03655,CP006471,693350,694270,+,gene733,protein_coding,M744_03790,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA,WP_011378489.1
M744_RS03660,CP006471,694365,694640,-,gene734,protein_coding,,DUF29 domain-containing protein,WP_011378488.1
M744_RS03665,CP006471,694723,695331,-,gene735,protein_coding,M744_03800,hypothetical protein,WP_011243928.1
M744_RS03670,CP006471,695403,695621,-,gene736,protein_coding,M744_03805,NAD(P)H-quinone oxidoreductase subunit O,WP_011243929.1
M744_RS13660,CP006471,695929,697509,+,gene737,protein_coding,,hypothetical protein,WP_011378487.1
M744_RS03675,CP006471,698245,698937,+,gene738,protein_coding,M744_03810,hypothetical protein,WP_011243931.1
M744_RS03680,CP006471,699070,700554,+,gene739,protein_coding,M744_03815,hypothetical protein,WP_011378485.1
M744_RS13665,CP006471,701166,702398,+,gene740,protein_coding,,hypothetical protein,WP_011243933.1
M744_RS03690,CP006471,702386,703288,+,gene741,protein_coding,M744_03825,hypothetical protein,WP_011243934.1
M744_RS13670,CP006471,703293,703859,-,gene742,protein_coding,,type II secretion system protein,WP_011378483.1
M744_RS03700,CP006471,704360,704734,+,gene743,protein_coding,M744_03830,photosystem II reaction center protein Psb28,WP_011243936.1
M744_RS03705,CP006471,704750,705646,+,gene744,protein_coding,M744_03835,TIGR01777 family protein,WP_011243937.1
M744_RS03710,CP006471,705643,705978,-,gene745,protein_coding,M744_03840,hypothetical protein,WP_011378482.1
M744_RS03715,CP006471,706118,707518,-,gene746,protein_coding,M744_03845,argininosuccinate lyase,WP_039755911.1
M744_RS03720,CP006471,707843,709231,-,gene747,protein_coding,M744_03855,guanylate cyclase,WP_039755543.1
M744_RS03725,CP006471,709411,710967,-,gene748,protein_coding,M744_03860,signal recognition particle-docking protein FtsY,WP_011243942.1
M744_RS03730,CP006471,710982,711623,-,gene749,protein_coding,M744_03865,N utilization substance protein B,WP_011243943.1
M744_RS03735,CP006471,711770,712537,-,gene750,protein_coding,M744_03870,DUF502 domain-containing protein,WP_011378480.1
M744_RS03740,CP006471,712760,713530,-,gene751,protein_coding,M744_03875,hypothetical protein,WP_011243945.1
M744_RS03745,CP006471,713708,715612,-,gene752,protein_coding,M744_03880,chaperone protein dnaK2,WP_011378479.1
M744_RS03750,CP006471,715791,716657,+,gene753,protein_coding,M744_03885,shikimate dehydrogenase,WP_011243947.1
M744_RS03755,CP006471,716677,717384,-,gene754,protein_coding,M744_03890,DNA-binding response regulator,WP_011378478.1
M744_RS03760,CP006471,717364,717558,+,gene755,protein_coding,M744_03895,hypothetical protein,WP_039755545.1
M744_RS03765,CP006471,717648,717899,+,gene756,protein_coding,M744_03900,hypothetical protein,WP_011378477.1
M744_RS03770,CP006471,718068,718766,+,gene757,protein_coding,M744_03905,acetylmannosamine-6-phosphate 2-epimerase,WP_011243950.1
M744_RS03775,CP006471,718863,720116,+,gene758,protein_coding,M744_03910,S-adenosylmethionine synthase,WP_011378476.1
M744_RS03780,CP006471,720128,721408,+,gene759,protein_coding,M744_03915,sugar kinase,WP_011378475.1
M744_RS03785,CP006471,721497,722930,+,gene760,protein_coding,M744_03920,agmatine deiminase family protein,WP_011378474.1
M744_RS03790,CP006471,723053,724327,+,gene761,protein_coding,M744_03925,DNA (cytosine-5-)-methyltransferase,WP_011243954.1
M744_RS03795,CP006471,724524,725612,-,gene762,protein_coding,M744_03930,hypothetical protein,WP_011243955.1
M744_RS03800,CP006471,725752,725838,-,gene763,tRNA,M744_03935,,
M744_RS03805,CP006471,725876,728050,-,gene764,protein_coding,M744_03940,DUF4131 domain-containing protein,WP_011378473.1
M744_RS03810,CP006471,728116,728994,-,gene765,protein_coding,M744_03945,glycine--tRNA ligase subunit alpha,WP_011378472.1
M744_RS03815,CP006471,729109,730059,-,gene766,protein_coding,M744_03950,DUF4335 domain-containing protein,WP_011243958.1
M744_RS03820,CP006471,730066,730698,-,gene767,protein_coding,M744_03955,DUF3038 domain-containing protein,WP_011243959.1
M744_RS03825,CP006471,730860,731376,+,gene768,pseudogene,,adenine phosphoribosyltransferase,0
M744_RS03830,CP006471,731383,732378,+,gene769,protein_coding,M744_03965,ABC transporter permease,WP_039755550.1
M744_RS03835,CP006471,732520,733599,+,gene770,protein_coding,M744_03970,pilus assembly protein PilM,WP_011243962.1
M744_RS03840,CP006471,733602,733940,+,gene771,protein_coding,M744_03975,hypothetical protein,WP_011243963.1
M744_RS03845,CP006471,733947,734318,+,gene772,protein_coding,M744_03980,hypothetical protein,WP_081422177.1
M744_RS03850,CP006471,734315,735109,+,gene773,protein_coding,M744_03985,hypothetical protein,WP_011378469.1
M744_RS03855,CP006471,735187,737502,+,gene774,protein_coding,M744_03990,pilus biosynthesis protein PilQ,WP_011378468.1
M744_RS03860,CP006471,737674,738309,-,gene775,protein_coding,M744_03995,peroxiredoxin,WP_011378467.1
M744_RS03865,CP006471,738407,740014,-,gene776,protein_coding,M744_04000,GTPase HflX,WP_011378466.1
M744_RS03870,CP006471,740163,740384,-,gene777,protein_coding,M744_04005,hypothetical protein,WP_011243969.1
M744_RS03875,CP006471,740559,741392,+,gene778,protein_coding,M744_04010,type I methionyl aminopeptidase,WP_011243970.1
M744_RS03880,CP006471,741545,742558,+,gene779,protein_coding,M744_04015,protein sphX,WP_011243971.1
M744_RS03885,CP006471,742838,743851,+,gene780,protein_coding,M744_04020,phosphate-binding protein,WP_011243972.1
M744_RS03890,CP006471,743937,744869,+,gene781,protein_coding,M744_04025,phosphate ABC transporter permease subunit PstC,WP_011378465.1
M744_RS03895,CP006471,744869,745780,+,gene782,protein_coding,M744_04030,phosphate ABC transporter%2C permease protein PstA,WP_011243974.1
M744_RS03900,CP006471,745828,746622,+,gene783,protein_coding,M744_04035,phosphate ABC transporter ATP-binding protein,WP_011378464.1
M744_RS03905,CP006471,746784,748934,+,gene784,protein_coding,M744_04040,polyribonucleotide nucleotidyltransferase,WP_011378463.1
M744_RS03910,CP006471,749207,750202,-,gene785,protein_coding,M744_04045,beta-carotene hydroxylase,WP_011243977.1
M744_RS03915,CP006471,750421,750502,-,gene786,tRNA,M744_04050,,
M744_RS03920,CP006471,750605,752038,+,gene787,protein_coding,M744_04055,chemotaxis protein CheA,WP_011243978.1
M744_RS03925,CP006471,752110,754974,+,gene788,protein_coding,M744_04060,isoleucine--tRNA ligase,WP_011243979.1
M744_RS03930,CP006471,755033,755629,+,gene789,protein_coding,M744_04065,peptide-methionine (S)-S-oxide reductase,WP_011243980.1
M744_RS03935,CP006471,755673,756293,-,gene790,protein_coding,M744_04070,DUF938 domain-containing protein,WP_011243981.1
M744_RS03940,CP006471,756297,756815,-,gene791,protein_coding,M744_04075,acetolactate synthase small subunit,WP_011243982.1
M744_RS03945,CP006471,756832,757752,-,gene792,protein_coding,M744_04080,alpha/beta hydrolase,WP_011378462.1
M744_RS03950,CP006471,757749,758357,-,gene793,protein_coding,M744_04085,Uma2 family endonuclease,WP_011378461.1
M744_RS03955,CP006471,758523,762332,+,gene794,protein_coding,M744_04090,hypothetical protein,WP_011378460.1
M744_RS03960,CP006471,762366,763511,+,gene795,protein_coding,M744_04095,SAM-dependent methyltransferase,WP_011243986.1
M744_RS03965,CP006471,763550,764200,+,gene796,protein_coding,M744_04100,MotA/TolQ/ExbB proton channel family protein,WP_011378459.1
M744_RS03970,CP006471,764234,764680,+,gene797,protein_coding,M744_04105,biopolymer transporter ExbD,WP_011243988.1
M744_RS03975,CP006471,764664,765506,-,gene798,protein_coding,M744_04110,sulfurtransferase,WP_011378458.1
M744_RS03980,CP006471,765585,765698,+,gene799,protein_coding,M744_04115,cytochrome b6-f complex subunit 7,WP_011243990.1
M744_RS03985,CP006471,765817,766779,+,gene800,protein_coding,M744_04120,3-beta hydroxysteroid dehydrogenase,WP_011378457.1
M744_RS03990,CP006471,766851,767654,+,gene801,protein_coding,M744_04125,DUF975 domain-containing protein,WP_011378456.1
M744_RS03995,CP006471,767703,769610,+,gene802,protein_coding,M744_04130,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,WP_011378455.1
M744_RS04000,CP006471,769634,770500,+,gene803,protein_coding,M744_04135,hypothetical protein,WP_011243994.1
M744_RS04005,CP006471,770581,771498,+,gene804,protein_coding,M744_04140,membrane protein,WP_011243995.1
M744_RS04010,CP006471,771529,772263,-,gene805,protein_coding,M744_04145,serine acetyltransferase,WP_011243996.1
M744_RS04015,CP006471,772324,772848,-,gene806,protein_coding,M744_04150,hypothetical protein,WP_011243997.1
M744_RS04020,CP006471,772961,773845,+,gene807,protein_coding,M744_04155,transcriptional regulator,WP_011243998.1
M744_RS04025,CP006471,773899,775164,+,gene808,protein_coding,M744_04160,sugar ABC transporter substrate-binding protein,WP_011243999.1
M744_RS04030,CP006471,775271,776038,+,gene809,protein_coding,M744_04165,DNA-binding response regulator,WP_011244000.1
M744_RS04035,CP006471,776108,777622,+,gene810,protein_coding,M744_04170,lysine--tRNA ligase,WP_011244001.1
M744_RS04040,CP006471,777828,778883,+,gene811,protein_coding,M744_04180,class I SAM-dependent methyltransferase,WP_011244002.1
M744_RS04045,CP006471,779227,780039,+,gene812,protein_coding,M744_04185,membrane protein,WP_011378453.1
M744_RS04050,CP006471,780057,780428,-,gene813,protein_coding,M744_04190,hypothetical protein,WP_011244004.1
M744_RS04055,CP006471,780453,781487,-,gene814,protein_coding,M744_04195,adenosine deaminase,WP_011244005.1
M744_RS04060,CP006471,781673,783007,+,gene815,protein_coding,M744_04200,adenylosuccinate synthetase,WP_011378451.1
M744_RS04065,CP006471,783083,783469,+,gene816,protein_coding,M744_04205,RidA family protein,WP_011378450.1
M744_RS04070,CP006471,783540,784352,-,gene817,protein_coding,M744_04210,hypothetical protein,WP_011244008.1
M744_RS04075,CP006471,784288,785427,-,gene818,protein_coding,M744_04215,glycine oxidase ThiO,WP_011244009.1
M744_RS04080,CP006471,785485,785739,+,gene819,protein_coding,M744_04220,DUF296 domain-containing protein,WP_011378448.1
M744_RS04085,CP006471,785893,785965,-,gene820,tRNA,M744_04225,,
M744_RS13675,CP006471,785931,786671,-,gene821,protein_coding,,ComF family protein,WP_011378447.1
M744_RS04095,CP006471,786730,787014,-,gene822,protein_coding,M744_04240,DUF2470 domain-containing protein,WP_011244012.1
M744_RS04100,CP006471,787323,788453,-,gene823,protein_coding,M744_04250,agmatine deiminase family protein,WP_011244013.1
M744_RS04105,CP006471,788538,789029,+,gene824,protein_coding,M744_04255,Hsp20/alpha crystallin family protein,WP_011244014.1
M744_RS04110,CP006471,789162,790319,+,gene825,protein_coding,M744_04260,hypothetical protein,WP_011378446.1
M744_RS04115,CP006471,790377,791555,+,gene826,protein_coding,M744_04265,N-acetyltransferase,WP_011378445.1
M744_RS04120,CP006471,791562,792011,+,gene827,protein_coding,M744_04270,Holliday junction resolvase RuvX,WP_011378444.1
M744_RS04125,CP006471,792017,792544,+,gene828,protein_coding,M744_04275,DUF3727 domain-containing protein,WP_011244018.1
M744_RS04130,CP006471,792548,793099,+,gene829,protein_coding,M744_04280,YqeG family HAD IIIA-type phosphatase,WP_011244019.1
M744_RS04135,CP006471,793338,793589,+,gene830,protein_coding,M744_04285,hypothetical protein,WP_011244020.1
M744_RS04140,CP006471,793643,795424,+,gene831,protein_coding,M744_04290,sodium:proton antiporter,WP_011244021.1
M744_RS04145,CP006471,795345,796790,-,gene832,protein_coding,M744_04295,glutamate--tRNA ligase,WP_011244022.1
M744_RS04150,CP006471,796973,798433,-,gene833,protein_coding,M744_04300,hypothetical protein,WP_011378443.1
M744_RS04155,CP006471,798630,799287,-,gene834,pseudogene,M744_04305,oxidoreductase,0
M744_RS04160,CP006471,799356,803012,-,gene835,protein_coding,M744_04310,5-oxoprolinase,WP_039755558.1
M744_RS04165,CP006471,803014,803877,+,gene836,protein_coding,M744_04315,molecular chaperone DnaJ,WP_071818122.1
M744_RS04170,CP006471,804147,805316,+,gene837,protein_coding,M744_04320,hypothetical protein,WP_011244027.1
M744_RS04175,CP006471,805360,807375,+,gene838,protein_coding,M744_04325,hypothetical protein,WP_011378439.1
M744_RS04180,CP006471,807377,808480,-,gene839,protein_coding,M744_04330,hydrogenase formation protein HypD,WP_011378438.1
M744_RS04185,CP006471,808482,809504,-,gene840,protein_coding,M744_04335,diguanylate cyclase,WP_011244030.1
M744_RS04190,CP006471,809504,813094,-,gene841,protein_coding,M744_04340,pyruvate:ferredoxin (flavodoxin) oxidoreductase,WP_011378437.1
M744_RS04195,CP006471,813218,814369,-,gene842,protein_coding,M744_04345,PIN/TRAM domain-containing protein,WP_011378436.1
M744_RS04200,CP006471,814409,815599,+,gene843,protein_coding,M744_04350,coproporphyrinogen III oxidase family protein,WP_011244033.1
M744_RS04205,CP006471,815596,816402,-,gene844,protein_coding,M744_04355,3-methyl-2-oxobutanoate hydroxymethyltransferase,WP_011244034.1
SRP_RNA,CP006471,816482,816578,+,gene845,ffs,M744_RS13680,,
M744_RS04210,CP006471,816706,817134,+,gene846,protein_coding,M744_04360,hypothetical protein,WP_011244035.1
M744_RS04215,CP006471,817119,817910,-,gene847,protein_coding,M744_04365,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,WP_011378435.1
M744_RS04220,CP006471,817910,819091,-,gene848,protein_coding,M744_04370,cell division protein FtsZ,WP_011244037.1
M744_RS04225,CP006471,819311,820159,-,gene849,protein_coding,M744_04375,cell division protein FtsQ,WP_011378434.1
M744_RS04230,CP006471,820184,820594,-,gene850,protein_coding,M744_04380,hypothetical protein,WP_011244039.1
M744_RS04235,CP006471,820598,821641,-,gene851,protein_coding,M744_04385,D-alanine--D-alanine ligase,WP_011244040.1
M744_RS04240,CP006471,821673,823031,-,gene852,protein_coding,M744_04390,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,WP_011244041.1
M744_RS04245,CP006471,823105,824139,+,gene853,protein_coding,M744_04395,dipeptide epimerase,WP_011244042.1
M744_RS04250,CP006471,824142,825191,+,gene854,protein_coding,M744_04400,DUF1611 domain-containing protein,WP_011378433.1
M744_RS04255,CP006471,825232,826026,+,gene855,protein_coding,M744_04405,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,WP_011244044.1
M744_RS04260,CP006471,826037,826216,-,gene856,protein_coding,M744_04410,hypothetical protein,WP_039755564.1
M744_RS04265,CP006471,826267,829437,-,gene857,protein_coding,M744_04415,hydrophobe/amphiphile efflux-1 family RND transporter,WP_011378431.1
M744_RS04270,CP006471,829458,830588,-,gene858,protein_coding,M744_04420,efflux RND transporter periplasmic adaptor subunit,WP_011244046.1
M744_RS04275,CP006471,830910,830985,-,gene859,tRNA,M744_04425,,
M744_RS04280,CP006471,831024,831527,+,gene860,protein_coding,M744_04430,DUF4359 domain-containing protein,WP_011378430.1
M744_RS04285,CP006471,831599,831877,+,gene861,protein_coding,M744_04435,Nif11 family protein,WP_011378429.1
M744_RS04290,CP006471,831969,833597,-,gene862,protein_coding,M744_04440,peptide chain release factor 3,WP_039755566.1
M744_RS04295,CP006471,833711,834316,+,gene863,protein_coding,M744_04445,DUF1802 domain-containing protein,WP_011244049.1
M744_RS04300,CP006471,834282,834707,+,gene864,protein_coding,M744_04450,hypothetical protein,WP_011244050.1
M744_RS04305,CP006471,834724,835695,-,gene865,protein_coding,M744_04455,solanesyl diphosphate synthase,WP_011378426.1
M744_RS04310,CP006471,835739,836608,-,gene866,protein_coding,M744_04460,glutamate racemase,WP_011244052.1
M744_RS04315,CP006471,836621,837655,-,gene867,protein_coding,M744_04465,N-acetylmuramoyl-L-alanine amidase,WP_011378425.1
M744_RS04320,CP006471,837705,839087,-,gene868,protein_coding,M744_04470,cation:proton antiporter,WP_011378424.1
M744_RS04325,CP006471,839126,839956,-,gene869,protein_coding,M744_04475,carbon-nitrogen hydrolase family protein,WP_011244055.1
M744_RS04330,CP006471,840032,841477,+,gene870,protein_coding,M744_04480,hypothetical protein,WP_011378423.1
M744_RS04335,CP006471,841644,842285,+,gene871,protein_coding,M744_04485,Crp/Fnr family transcriptional regulator,WP_081429508.1
M744_RS04340,CP006471,842376,842699,+,gene872,protein_coding,M744_04490,hypothetical protein,WP_011244058.1
M744_RS04345,CP006471,842752,843276,+,gene873,protein_coding,M744_04495,peptidylprolyl isomerase,WP_011244059.1
